app_id,type,status,reference,count
ru.yandex.key,url,FP,easyprivacy,6
vn.com.sacombank.msign,url,FP,easyprivacy,66
oracle.idm.mobile.authenticator,url,FP,easylist,1
oracle.idm.mobile.authenticator,url,FP,easyprivacy,1
kr.or.kftc.fsc,url,FP,easylist,3
nh.smart.signone,url,FP,easyprivacy,1
vn.funtap.smartotp,url,FP,easylist,1
com.sgn.sgotp,url,FP,easylist,1
it.previnet.authenticator,url,FP,easylist,2
com.dxc.ipwr,url,FP,easyprivacy,1
com.egypt.ais.aismotp,url,FP,easylist,1
com.egypt.ais.aismotp,url,FP,easyprivacy,1
com.feelanet.artstrongid.sec,url,FP,easylist,2
com.feelanet.artstrongid.sec,url,FP,easyprivacy,2
com.ftsafe.otp.activity,url,FP,easylist,1
com.ftsafe.otp.activity,url,FP,easyprivacy,1
com.gstotpauthenticator,url,FP,easylist,4
com.gstotpauthenticator,url,FP,easyprivacy,4
com.dxc.ipwr,url,FP,easylist,1
com.halcom.ng.mobile.puppaltr,url,FP,easylist,4
com.inwebo.authenticator,url,FP,easylist,1
com.inwebo.authenticator,url,FP,easyprivacy,1
com.kmcert.myotp,url,FP,easylist,1
com.kmcert.myotp,url,FP,easyprivacy,1
com.lenovo.otp,url,FP,easylist,2
com.lenovo.otp,url,FP,easyprivacy,2
com.mdmobiasbancadigipass,url,FP,easylist,2
com.mdmobiasbancadigipass,url,FP,easyprivacy,2
com.mds.canarabankapp,url,FP,easylist,2
com.halcom.ng.mobile.puppaltr,url,FP,easyprivacy,4
com.dreammirae.otp.android.mirae.multiid.market,url,FP,easyprivacy,5
com.dreammirae.otp.android.mirae.multiid.market,url,FP,easylist,5
com.dreammirae.anyauth.android,url,FP,easyprivacy,4
at.tugraz.iaik.signapp,url,FP,easylist,1
at.tugraz.iaik.signapp,url,FP,easyprivacy,1
br.gov.caixa.codigocaixa,url,FP,easylist,9
br.gov.caixa.codigocaixa,url,FP,easyprivacy,9
club.nagavip.otp,url,FP,easylist,5
club.nagavip.otp,url,FP,easyprivacy,5
com.aff.otpdirekt,url,FP,easylist,16
com.aff.otpdirekt,url,FP,easyprivacy,16
